OrderID,CustomerID,OrderDate,Country,Category,Product,Quantity,UnitPrice,TotalPrice,Discount,Revenue,PaymentMethod
100000,1860,2023-04-12,India,Sports,Treadmill,8,301.34,2410.72,0.0,2410.72,Bank Transfer
100001,9322,2024-03-16,Australia,Home & Kitchen,Vacuum Cleaner,5,485.11,2425.55,242.56,2182.9900000000002,PayPal
100002,7420,2023-04-20,USA,Groceries,Vegetables,6,8.5,51.0,0.0,51.0,Bank Transfer
100003,3047,2023-10-09,Germany,Sports,Tennis Racket,3,194.32,582.96,87.44,495.52000000000004,Credit Card
100004,6393,2024-02-16,Germany,Electronics,Headphones,9,482.99,4346.91,434.69,3912.22,PayPal
100005,7235,2022-02-04,Germany,Books,Notebook,7,306.95,2148.65,214.86,1933.79,PayPal
100006,2585,2023-12-04,Germany,Electronics,Tablet,2,215.45,430.9,0.0,430.9,PayPal
100007,1161,2023-04-01,UK,Clothing,Dress,4,300.96,1203.84,120.38,1083.46,PayPal
100008,2016,2024-05-28,Australia,Sports,Treadmill,8,423.04,3384.32,169.22,3215.1000000000004,Credit Card
100009,5859,2023-06-05,Germany,Groceries,Milk,9,151.66,1364.94,0.0,1364.94,Cash
100010,3695,2022-10-16,India,Electronics,Tablet,3,354.89,1064.67,53.23,1011.44,Bank Transfer
100011,7184,2024-11-22,Germany,Books,Notebook,7,425.77,2980.39,0.0,2980.39,Cash
100012,9996,2023-09-05,India,Sports,Yoga Mat,8,140.99,1127.92,0.0,1127.92,Bank Transfer
100013,4840,2023-01-28,Canada,Toys,Puzzle,7,386.63,2706.41,0.0,2706.41,Bank Transfer
100014,8721,2023-07-18,Germany,Sports,Tennis Racket,3,20.56,61.68,3.08,58.6,Credit Card
100015,2757,2023-06-25,Canada,Groceries,Vegetables,7,304.19,2129.33,0.0,2129.33,Cash
100016,4157,2024-10-09,Germany,Books,Magazine,2,314.06,628.12,0.0,628.12,PayPal
100017,4627,2023-09-25,Germany,Beauty,Perfume,7,448.57,3139.99,0.0,3139.99,Cash
100018,8526,2023-11-15,Australia,Books,Novel,8,269.37,2154.96,0.0,2154.96,Cash
100019,2495,2023-07-18,USA,Sports,Yoga Mat,4,185.0,740.0,111.0,629.0,Cash
100020,8554,2022-04-23,USA,Toys,Puzzle,5,146.0,730.0,0.0,730.0,PayPal
100021,1854,2024-12-12,Canada,Clothing,Dress,1,319.0,319.0,15.95,303.05,Cash
100022,6535,2024-02-06,Germany,Clothing,Dress,7,382.0,2674.0,0.0,2674.0,PayPal
100023,3931,2022-05-24,UK,Groceries,Rice,6,202.42,1214.52,121.45,1093.07,Credit Card
100024,5282,2023-02-07,Australia,Electronics,Tablet,3,297.49,892.47,44.62,847.85,PayPal
100025,9338,2023-07-05,Germany,Home & Kitchen,Vacuum Cleaner,7,91.31,639.17,31.96,607.2099999999999,PayPal
100026,2802,2022-09-20,Germany,Groceries,Rice,9,61.17,550.53,55.05,495.47999999999996,Cash
100027,9815,2022-09-11,USA,Groceries,Milk,4,267.18,1068.72,0.0,1068.72,Cash
100028,8158,2023-02-08,USA,Books,Novel,9,177.86,1600.74,80.04,1520.7,Cash
100029,2648,2023-05-25,Germany,Toys,Remote Car,6,336.15,2016.9,0.0,2016.9,Credit Card
100030,3961,2024-08-14,Australia,Home & Kitchen,Mixer,2,245.38,490.76,0.0,490.76,Credit Card
100031,6699,2023-02-05,USA,Beauty,Lipstick,5,93.52,467.6,0.0,467.6,Cash
100032,5555,2022-02-07,India,Electronics,Tablet,3,319.98,959.94,0.0,959.94,PayPal
100033,6895,2024-05-28,India,Books,Textbook,2,178.29,356.58,17.83,338.75,Cash
100034,8996,2022-01-17,India,Electronics,Smartphone,4,17.04,68.16,3.41,64.75,Cash
100035,2069,2022-10-07,Canada,Beauty,Shampoo,6,188.23,1129.38,0.0,1129.38,Credit Card
100036,1606,2024-07-16,India,Electronics,Laptop,1,42.3,42.3,0.0,42.3,Bank Transfer
